column_name,dataset,meaning,data_type,allowed_values,synthetic_demo,used_in_training,used_in_dashboard
datetime,"clean_data (patient flow, training)",Timestamp of the hourly record,string,ISO datetime,True,True,False
patients,"clean_data (patient flow, training)",Total patients present in hospital at this hour (primary target),int,42-232,True,True,True
day_of_week,"clean_data (patient flow, training)",Integer day (0=Monday 6=Sunday),int,0-6,True,True,False
day_of_week_name,"clean_data (patient flow, training)",Name of day,string,Monday-Sunday,True,True,False
month,"clean_data (patient flow, training)",Calendar month,int,1-12,True,True,False
is_weekend,"clean_data (patient flow, training)",1 if Saturday or Sunday,int,0 or 1,True,True,True
holiday,"clean_data (patient flow, training)",1 if hospital calendar event or public holiday,int,0 or 1,True,True,True
holiday_name,"clean_data (patient flow, training)",Name of holiday or event,string,free text or blank,True,True,False
weather,"clean_data (patient flow, training)",Weather severity code,int,1-3,True,True,True
weather_type,"clean_data (patient flow, training)",Weather label,string,Normal/Cold-Flu Season/Extreme Heat,True,True,False
weather_severity,"clean_data (patient flow, training)",Weather severity (duplicates weather column),int,1-3,True,True,False
hospital capacity,"clean_data (patient flow, training)",Maximum licensed beds at this hour,int,218-295,True,True,True
is_capped,"clean_data (patient flow, training)",1 if patients equal capacity,int,0 or 1,True,True,False
is_emergency,"clean_data (patient flow, training)",1 if mass casualty or emergency event active,int,0 or 1,True,True,True
emergency_spike,"clean_data (patient flow, training)",Additional patients from emergency event,int,>=0,True,True,True
is_outbreak,"clean_data (patient flow, training)",1 if disease outbreak active,int,0 or 1,True,True,True
outbreak_intensity,"clean_data (patient flow, training)",Severity of outbreak (0=none 3=severe),int,0-3,True,True,True
is_staff_shortage,"clean_data (patient flow, training)",1 if staff shortage in effect,int,0 or 1,True,True,True
staff_shortage_impact,"clean_data (patient flow, training)",Patients affected by staff shortage,int,>=0,True,True,False
scenario_primary,"clean_data (patient flow, training)",Human-readable scenario label,string,free text,True,True,False
scenario_code,"clean_data (patient flow, training)",Integer code for scenario type,int,0-9,True,True,False
y_patients_t_plus_1,"clean_data (patient flow, training)",Supervised label: patients 1 hour ahead,int,42-232,True,True,False
y_patients_t_plus_24,"clean_data (patient flow, training)",Supervised label: patients 24 hours ahead,int,42-232,True,True,False
hour,"clean_data (patient flow, training)",Hour of day,int,0-23,True,True,True
season,"clean_data (patient flow, training)",Season label,string,Winter/Spring/Summer/Autumn,True,True,True
week_of_year,"clean_data (patient flow, training)",ISO week number,int,1-52,True,True,False
shift_period,"clean_data (patient flow, training)",Shift name for this hour,string,Morning/Evening/Night,True,True,True
is_holiday,"clean_data (patient flow, training)",1 if holiday (alias of holiday column),int,0 or 1,True,True,False
is_holiday_or_event,"clean_data (patient flow, training)",1 if holiday or special event,int,0 or 1,True,True,False
event_flag,"clean_data (patient flow, training)",1 if any event is active,int,0 or 1,True,True,False
arrivals,"clean_data (patient flow, training)",New patient arrivals this hour,int,>=0,True,True,True
admissions,"clean_data (patient flow, training)",Admissions from arrivals,int,>=0,True,True,False
discharges,"clean_data (patient flow, training)",Patients discharged this hour,int,>=0,True,True,True
transfers,"clean_data (patient flow, training)",Transfers between departments,int,>=0,True,True,False
emergency_arrivals,"clean_data (patient flow, training)",Emergency arrivals subset,int,>=0,True,True,True
elective_arrivals,"clean_data (patient flow, training)",Elective/planned arrivals subset,int,>=0,True,True,False
waiting_patients,"clean_data (patient flow, training)",Patients waiting for a bed,int,>=0,True,True,True
avg_wait_time_minutes,"clean_data (patient flow, training)",Average wait time in minutes,int,>=0,True,True,True
occupancy_rate,"clean_data (patient flow, training)",Fraction of beds occupied,float,0.0-1.0,True,True,True
bed_occupancy,"clean_data (patient flow, training)",Alias of occupancy_rate,float,0.0-1.0,True,True,False
occupied_beds,"clean_data (patient flow, training)",Count of beds in use,int,>=0,True,True,True
available_beds,"clean_data (patient flow, training)",Count of free beds,int,>=0,True,True,True
available_doctors,"clean_data (patient flow, training)",Doctors on duty this hour,int,>=0,True,True,True
available_nurses,"clean_data (patient flow, training)",Nurses on duty this hour,int,>=0,True,True,True
staff_on_duty,"clean_data (patient flow, training)",Total staff on duty,int,>=0,True,True,False
doctor_shortage,"clean_data (patient flow, training)",Doctors below required ratio (0 = fully staffed),int,>=0,True,True,True
nurse_shortage,"clean_data (patient flow, training)",Nurses below required ratio (0 = fully staffed),int,>=0,True,True,True
bed_shortage,"clean_data (patient flow, training)",Beds below required count (0 = no shortage),int,>=0,True,True,True
appointments_count,"clean_data (patient flow, training)",Scheduled appointments this hour,int,>=0,True,True,False
or_bookings_count,"clean_data (patient flow, training)",OR bookings this hour,int,>=0,True,True,False
delayed_discharge_count,"clean_data (patient flow, training)",Discharges delayed this hour,int,>=0,True,True,False
department_pressure_score,"clean_data (patient flow, training)",Composite pressure index 0-100,float,0.0-100.0,True,True,True
er_pressure_score,"clean_data (patient flow, training)",ER-specific pressure index 0-100,float,0.0-100.0,True,True,True
doctors_available,"clean_data (patient flow, training)",Alias of available_doctors,int,>=0,True,True,False
nurses_available,"clean_data (patient flow, training)",Alias of available_nurses,int,>=0,True,True,False
lag_1,"clean_data (patient flow, training)",Patients 1 hour ago (lag feature),int,42-232,True,True,False
lag_24,"clean_data (patient flow, training)",Patients 24 hours ago (lag feature),int,42-232,True,True,False
roll_mean_3,"clean_data (patient flow, training)",3-hour rolling mean of patients,float,>=0,True,True,False
roll_mean_6,"clean_data (patient flow, training)",6-hour rolling mean of patients,float,>=0,True,True,False
roll_mean_24,"clean_data (patient flow, training)",24-hour rolling mean of patients,float,>=0,True,True,False
predicted_patients_next_hour,"clean_data (patient flow, training)",LSTM predicted value at generation time,int,42-232,True,True,False
staff_id,staff_master_data,Unique staff identifier (STF-XXXX format),string,STF-0001 to STF-0148,True,False,True
staff_name,staff_master_data,Full display name,string,free text,True,False,True
role,staff_master_data,Clinical role,string,doctor/nurse,True,False,True
department,staff_master_data,Primary assigned department,string,ER/ICU/General Ward/Surgery/Radiology,True,False,True
specialty,staff_master_data,Medical specialty,string,free text,True,False,True
qualification_level,staff_master_data,Highest qualification,string,MD/PhD/BSN/RN/MSN,True,False,False
years_experience,staff_master_data,Years in clinical practice,int,1-30,True,False,False
overtime_hours,staff_master_data,Overtime hours this period,int,0-20,True,False,False
available_for_shift,staff_master_data,Whether available for next shift,string,Yes/No,True,False,True
max_hours_per_week,staff_master_data,Maximum weekly hours allowed,int,40/48/56,True,False,False
notes,staff_master_data,Free-text operational notes,string,free text,True,False,False
staff_id,staff_schedule,FK to staff_master staff_id (STF-XXXX),string,STF-0001 to STF-0148,True,False,True
staff_name,staff_schedule,Display name,string,free text,True,False,True
staff_username,staff_schedule,Login username (lowercase stf-XXXX or named),string,lowercase stf-XXXX,True,False,True
role,staff_schedule,Clinical role,string,doctor/nurse,True,False,True
department,staff_schedule,Assigned department for this shift,string,ER/ICU/General Ward/Surgery/Radiology,True,False,True
shift_date,staff_schedule,Date of shift (YYYY-MM-DD),string,ISO date,True,False,True
shift_type,staff_schedule,Shift period name,string,Morning/Evening/Night/Emergency Backup,True,False,True
shift_start_time,staff_schedule,Shift start time (HH:MM),string,07:00/15:00/23:00,True,False,True
shift_end_time,staff_schedule,Shift end time (HH:MM),string,15:00/23:00/07:00,True,False,True
status,staff_schedule,Shift assignment status,string,Assigned/Pending/Cancelled,True,False,True
notes,staff_schedule,Free-text notes,string,free text,True,False,False
staff_username,shifts (DB seed source),Login username - must match users.csv/DB (lowercase stf-XXXX),string,lowercase stf-XXXX,True,False,True
name,shifts (DB seed source),Display name,string,free text,True,False,True
role,shifts (DB seed source),Clinical role,string,doctor/nurse,True,False,True
department,shifts (DB seed source),Assigned department,string,ER/ICU/General Ward/Surgery/Radiology,True,False,True
shift_date,shifts (DB seed source),Date of shift (YYYY-MM-DD),string,ISO date,True,False,True
shift_type,shifts (DB seed source),Shift period,string,Morning/Evening/Night/Emergency Backup,True,False,True
shift_start_time,shifts (DB seed source),Start time HH:MM,string,07:00/15:00/23:00,True,False,True
shift_end_time,shifts (DB seed source),End time HH:MM,string,15:00/23:00/07:00,True,False,True
status,shifts (DB seed source),Shift status,string,Assigned/Pending/Cancelled,True,False,True
notes,shifts (DB seed source),Free-text notes,string,Synthetic demo schedule,True,False,False
appointment_id,appointments,Unique appointment identifier,string,APT-XXXX,True,False,True
department,appointments,Clinic department,string,ER/ICU/General Ward/Surgery/Radiology,True,False,True
doctor,appointments,Attending doctor name,string,free text,True,False,True
date,appointments,Appointment date (YYYY-MM-DD),string,ISO date,True,False,True
time_slot,appointments,Appointment time slot,string,HH:MM-HH:MM,True,False,True
patient_count,appointments,Number of patients in this slot,int,1-15,True,False,True
status,appointments,Slot status,string,Scheduled/Completed/Cancelled/Walk-in/Delayed,True,False,True
